-0.07,-2.38,9.7,0.55,-1.1,0.24
-0.14,-2.39,9.66,0.55,-1.16,0.37
-0.15,-2.38,9.69,0.67,-1.46,0.37
-0.17,-2.38,9.65,0.37,-1.16,0.3
-0.15,-2.37,9.67,0.67,-1.34,0.49
-0.16,-2.33,9.7,0.55,-1.22,0.3
-0.16,-2.36,9.78,0.55,-1.22,0.43
-0.13,-2.4,9.71,0.61,-1.16,0.24
-0.14,-2.35,9.64,0.55,-1.46,0.37
-0.11,-2.39,9.77,0.43,-1.22,0.49
-0.12,-2.39,9.65,0.73,-1.28,0.24
-0.16,-2.34,9.65,0.49,-1.28,0.12
-0.08,-2.39,9.67,0.37,-1.22,0.24
-0.16,-2.42,9.66,0.61,-1.34,0.3
-0.18,-2.42,9.66,0.43,-1.4,0.18
-0.15,-2.34,9.74,0.49,-1.28,0.37
-0.14,-2.35,9.58,0.37,-1.22,0.3
-0.15,-2.35,9.81,0.61,-1.22,0.43
-0.1,-2.33,9.6,0.55,-1.28,0.24
-0.19,-2.43,9.67,0.49,-1.28,0.3
-0.06,-2.4,9.75,0.73,-1.34,0.43
-0.21,-2.45,9.64,0.55,-1.16,0.37
-0.16,-2.31,9.71,0.49,-1.34,0.37
-0.12,-2.41,9.7,0.3,-1.34,0.3
-0.15,-2.34,9.66,0.43,-1.22,0.24
-0.18,-2.35,9.61,0.55,-1.34,0.43
-0.13,-2.39,9.65,0.61,-1.34,0.37
-0.2,-2.42,9.66,0.49,-1.34,0.24
-0.15,-2.41,9.71,0.55,-1.1,0.43
-0.15,-2.38,9.61,0.55,-1.22,0.3
-0.16,-2.37,9.66,0.61,-1.4,0.18
-0.16,-2.42,9.73,0.43,-1.22,0.3
-0.07,-2.35,9.75,0.37,-1.1,0.49
-0.12,-2.37,9.72,0.49,-1.16,0.3
-0.19,-2.41,9.72,0.43,-1.4,0.37
-0.15,-2.3,9.76,0.55,-1.4,0.3
-0.14,-2.31,9.63,0.73,-1.28,0.49
-0.17,-2.26,9.69,0.49,-1.22,0.24
-0.17,-2.36,9.72,0.49,-1.22,0.3
-0.13,-2.39,9.69,0.55,-1.28,0.37
-0.18,-2.43,9.64,0.43,-1.22,0.49
-0.14,-2.32,9.78,0.49,-1.34,0.24
-0.09,-2.43,9.65,0.61,-1.34,0.18
-0.09,-2.35,9.73,0.73,-1.4,0.12
-0.15,-2.31,9.7,0.67,-1.16,0.3
-0.07,-2.37,9.58,0.55,-1.34,0.55
-0.16,-2.41,9.75,0.49,-1.22,0.3
-0.14,-2.42,9.64,0.43,-1.4,0.43
-0.12,-2.35,9.78,0.43,-1.22,0.18
-0.17,-2.37,9.71,0.61,-1.4,0.3
-0.09,-2.38,9.71,0.43,-1.16,0.3
-0.13,-2.33,9.59,0.55,-1.1,0.24
-0.14,-2.41,9.74,0.3,-1.16,0.43
-0.11,-2.44,9.65,0.43,-1.22,0.18
-0.15,-2.39,9.71,0.49,-1.34,0.24
-0.11,-2.43,9.72,0.61,-1.28,0.3
-0.12,-2.33,9.69,0.55,-1.28,0.67
-0.19,-2.36,9.68,0.61,-1.22,0.24
-0.15,-2.37,9.68,0.49,-1.22,0.24
-0.16,-2.33,9.69,0.73,-1.34,0.24
-0.17,-2.46,9.7,0.55,-1.28,0.37
-0.15,-2.42,9.64,0.61,-1.34,0.12
-0.12,-2.38,9.72,0.55,-1.28,0.06
-0.11,-2.3,9.75,0.49,-1.22,0.3
-0.16,-2.39,9.65,0.49,-1.34,0.3
-0.13,-2.38,9.65,0.49,-1.16,0.3
-0.12,-2.43,9.59,0.43,-1.4,0.49
-0.18,-2.47,9.65,0.49,-1.22,0.18
-0.19,-2.42,9.78,0.49,-1.16,0.37
-0.14,-2.37,9.75,0.43,-1.04,0.12
-0.12,-2.32,9.67,0.43,-1.1,0.49
-0.13,-2.37,9.69,0.55,-1.1,0.49
-0.19,-2.46,9.68,0.55,-1.28,0.3
-0.15,-2.46,9.67,0.55,-1.16,0.43
-0.15,-2.39,9.62,0.67,-1.4,0.3
-0.18,-2.34,9.64,0.37,-1.52,0.24
-0.13,-2.25,9.69,0.55,-1.34,0.49
-0.09,-2.3,9.72,0.43,-1.28,0.24
-0.16,-2.32,9.67,0.49,-1.46,0.24
-0.15,-2.39,9.62,0.61,-1.34,0.24
-0.14,-2.42,9.74,0.49,-1.28,0.12
-0.15,-2.41,9.73,0.55,-1.34,0.3
-0.14,-2.29,9.67,0.49,-1.22,0.49
-0.16,-2.35,9.76,0.43,-1.28,0.37
-0.16,-2.35,9.65,0.61,-1.04,0.18
-0.2,-2.37,9.62,0.43,-1.4,0.12
-0.15,-2.4,9.7,0.67,-1.28,0.3
-0.22,-2.41,9.67,0.61,-1.28,0.3
-0.13,-2.34,9.66,0.55,-1.4,0.37
-0.11,-2.36,9.69,0.49,-1.22,0.12
-0.07,-2.33,9.67,0.55,-1.34,0.37
-0.17,-2.34,9.67,0.37,-1.16,0.18
-0.12,-2.43,9.66,0.43,-1.34,0.43
-0.17,-2.44,9.71,0.67,-1.34,0.3
-0.13,-2.42,9.75,0.55,-1.16,0.43
-0.13,-2.33,9.7,0.55,-1.34,0.43
-0.17,-2.29,9.8,0.55,-1.16,0.43
-0.16,-2.34,9.71,0.49,-1.34,0.24
-0.15,-2.34,9.65,0.67,-1.34,0.37
-0.17,-2.37,9.69,0.43,-1.22,0.24
-0.18,-2.43,9.62,0.55,-1.4,0.18
-0.13,-2.44,9.69,0.43,-1.34,0.12
-0.14,-2.34,9.74,0.43,-1.22,0.37
-0.16,-2.3,9.69,0.43,-1.22,0.3
-0.15,-2.4,9.58,0.55,-1.28,0.24
-0.13,-2.38,9.65,0.43,-1.28,0.18
-0.15,-2.38,9.76,0.67,-1.34,0.24
-0.22,-2.37,9.65,0.43,-1.4,0.37
-0.13,-2.45,9.68,0.43,-1.34,0.24
-0.12,-2.32,9.71,0.43,-1.16,0.37
-0.16,-2.28,9.73,0.43,-1.22,0.3
-0.16,-2.4,9.65,0.43,-1.22,0.37
-0.16,-2.36,9.68,0.49,-1.16,0.18
-0.19,-2.46,9.69,0.61,-1.22,0.37
-0.17,-2.34,9.66,0.3,-1.1,0.18
-0.14,-2.43,9.69,0.49,-1.28,0
